Name,Url,Price
"Apple iPhone 11 (White, 128 GB)",/apple-iphone-11-white-128-gb/p/itm846a8ba21ab11?pid=MOBFKCTS4MZVJ6FJ&lid=LSTMOBFKCTS4MZVJ6FJPY4SUX&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=525ea302-9cd8-465f-ab77-94ad169c778e.MOBFKCTS4MZVJ6FJ.SEARCH&ppt=sp&ppn=sp&ssid=vknibkymcw0000001587482535233&qH=0b3f45b266a97d70,"₹73,600"
"Apple iPhone 7 Plus (Black, 32 GB)",/apple-iphone-7-plus-black-32-gb/p/itmen6davhyetcwf?pid=MOBEMK6289R7UFQH&lid=LSTMOBEMK6289R7UFQHEIIGH8&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=525ea302-9cd8-465f-ab77-94ad169c778e.MOBEMK6289R7UFQH.SEARCH&ppt=sp&ppn=sp&ssid=vknibkymcw0000001587482535233&qH=0b3f45b266a97d70,"₹36,999"
"Apple iPhone 7 (Black, 32 GB)",/apple-iphone-7-black-32-gb/p/itmen6daftcqwzeg?pid=MOBEMK62PN2HU7EE&lid=LSTMOBEMK62PN2HU7EEINTGNU&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=525ea302-9cd8-465f-ab77-94ad169c778e.MOBEMK62PN2HU7EE.SEARCH&ppt=sp&ppn=sp&ssid=vknibkymcw0000001587482535233&qH=0b3f45b266a97d70,"₹29,499"
"Apple iPhone 11 (Black, 64 GB)",/apple-iphone-11-black-64-gb/p/itm0f37c2240b217?pid=MOBFKCTSVZAXUHGR&lid=LSTMOBFKCTSVZAXUHGREPBFGI&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=525ea302-9cd8-465f-ab77-94ad169c778e.MOBFKCTSVZAXUHGR.SEARCH&ssid=mjnnqxz3280000001587482534004&qH=0b3f45b266a97d70,"₹68,300"
